id,name,repeat_id,curiosity_lambda,curiosity_beta,learning_rate,env_name,epsilon_decay,is_curiosity,debug,n_episodes,episode,run,e_score,e_score_min,e_score_max,score_avg,score_best,loss,loss_dqn,loss_inverse,loss_forward,cosine_distance
58,mountain_car_58_58,58,0.3,0.1,0.001,MountainCar-v0,0.0001,True,True,200,200,,-122.0,-1.0,-1.0,-184.35,-87.0,1.3500486998284449,,0.08381258946706037,0.08381258946706037,0.002201661864509348
56,mountain_car_56_56,56,0.1,0.1,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-199.365,-148.0,3.399263847023249,,0.17293181080371142,0.17293181080371142,0.00021354557015001774
57,mountain_car_57_57,57,0.2,0.1,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-199.825,-165.0,3.2861941666528582,,0.12814341876655816,0.12814341876655816,0.003062968049198389
60,mountain_car_60_60,60,0.5,0.1,0.001,MountainCar-v0,0.0001,True,True,200,200,,-121.0,-1.0,-1.0,-178.805,-98.0,1.7860092098001115,,0.07686212066222321,0.07686212066222321,0.0011354881869859931
59,mountain_car_59_59,59,0.4,0.1,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-198.985,-119.0,2.920899686459452,,0.07941806441172958,0.07941806441172958,0.00033991665579378603
61,mountain_car_61_61,61,0.6,0.1,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-185.935,-83.0,1.6418013351410627,,0.07360458179377019,0.07360458179377019,0.00035224483348429204
63,mountain_car_63_63,63,0.8,0.1,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-199.49,-102.0,3.084434734620154,,0.14591887921094895,0.14591887921094895,0.0032119432743638755
64,mountain_car_64_64,64,0.8,0.1,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-200.0,-200.0,3.5207324428483844,,0.19838860616087914,0.19838860616087914,2.2014137357473373e-06
62,mountain_car_62_62,62,0.7,0.1,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-193.755,-128.0,2.1737192263267935,,0.109244419708848,0.109244419708848,0.00023580126464366912
67,mountain_car_67_67,67,0.2,0.2,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-199.64,-167.0,3.149560063034296,,0.14853247202932834,0.14853247202932834,0.00022331991232931613
66,mountain_car_66_66,66,0.1,0.2,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-197.42,-115.0,3.3578407556563614,,0.19954396329820157,0.19954396329820157,0.0004824467469006777
65,mountain_car_65_65,65,1.0,0.1,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-199.09,-124.0,3.250208984352648,,0.13060966633260251,0.13060966633260251,0.0018195789214223623
69,mountain_car_69_69,69,0.4,0.2,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-199.6,-152.0,2.7267969976365567,,0.14539915781468152,0.14539915781468152,0.0004139169305562973
68,mountain_car_68_68,68,0.3,0.2,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-196.81,-121.0,2.7271016505360604,,0.14340458709746598,0.14340458709746598,0.0017206430435180663
70,mountain_car_70_70,70,0.5,0.2,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-184.44,-114.0,1.8802771273814143,,0.08854894526302814,0.08854894526302814,0.00015807169489562512
71,mountain_car_71_71,71,0.6,0.2,0.001,MountainCar-v0,0.0001,True,True,200,200,,-159.0,-1.0,-1.0,-195.56,-109.0,2.7418244047172413,,0.11585655531980707,0.11585655531980707,0.0009755822800615299
73,mountain_car_73_73,73,0.8,0.2,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-196.085,-113.0,3.503913150690496,,0.11950800962746143,0.11950800962746143,7.87293165922165e-05
72,mountain_car_72_72,72,0.7,0.2,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-200.0,-200.0,3.1627845465019346,,0.1130973686464131,0.1130973686464131,1.01571436971426e-05
74,mountain_car_74_74,74,0.8,0.2,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-200.0,-200.0,3.485938390567899,,0.13902852695435286,0.13902852695435286,0.0002916230820119381
76,mountain_car_76_76,76,0.1,0.3,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-190.77,-102.0,2.592129837349057,,0.14726934559643268,0.14726934559643268,0.0015615028515458106
75,mountain_car_75_75,75,1.0,0.2,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-200.0,-200.0,2.914556035324931,,0.15327059257775544,0.15327059257775544,1.382855698466301e-06
77,mountain_car_77_77,77,0.2,0.3,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-199.795,-163.0,3.1961177841946484,,0.17358687981963158,0.17358687981963158,0.00011427406221628189
78,mountain_car_78_78,78,0.3,0.3,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-199.94,-191.0,3.5019428742676975,,0.13379948798567057,0.13379948798567057,2.9724733904004096e-05
79,mountain_car_79_79,79,0.4,0.3,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-194.825,-90.0,3.2392939027398824,,0.18905222430825233,0.18905222430825233,0.0005052096303552389
81,mountain_car_81_81,81,0.6,0.3,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-198.605,-115.0,3.097966324016452,,0.07578151147812605,0.07578151147812605,6.372313946485519e-05
82,mountain_car_82_82,82,0.7,0.3,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-195.8,-109.0,2.976534140072763,,0.19420700192451476,0.19420700192451476,6.660433486104012e-05
80,mountain_car_80_80,80,0.5,0.3,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-198.955,-131.0,2.456978170312941,,0.16287169206887483,0.16287169206887483,0.0003171202167868614
84,mountain_car_84_84,84,0.8,0.3,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-197.18,-95.0,3.159662750698626,,0.15510730609297751,0.15510730609297751,0.0005231035500764847
83,mountain_car_83_83,83,0.8,0.3,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-199.855,-172.0,2.7548451065272093,,0.11677557237446308,0.11677557237446308,0.0002146331127732992
85,mountain_car_85_85,85,1.0,0.3,0.001,MountainCar-v0,0.0001,True,True,200,200,,-132.0,-1.0,-1.0,-185.485,-85.0,2.0377721006728033,,0.09661979634653438,0.09661979634653438,0.0013428566074281027
88,mountain_car_88_88,88,0.3,0.4,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-199.215,-137.0,2.9504938747733833,,0.16646884329617023,0.16646884329617023,0.00042375897988677024
87,mountain_car_87_87,87,0.2,0.4,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-198.845,-110.0,3.096821797862649,,0.19194704577326774,0.19194704577326774,0.0005192449409514666
86,mountain_car_86_86,86,0.1,0.4,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-187.09,-99.0,2.6860028211399913,,0.12032642114907503,0.12032642114907503,0.004215555684641004
91,mountain_car_91_91,91,0.6,0.4,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-199.56,-112.0,3.2107187393307686,,0.181620467081666,0.181620467081666,0.00021789899095892907
90,mountain_car_90_90,90,0.5,0.4,0.001,MountainCar-v0,0.0001,True,True,200,200,,-117.0,-1.0,-1.0,-187.835,-93.0,2.164568724031122,,0.09211204200983047,0.09211204200983047,0.0025267768332846146
89,mountain_car_89_89,89,0.4,0.4,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-200.0,-200.0,3.3386274298653005,,0.1482082661986351,0.1482082661986351,9.909793734550476e-06
92,mountain_car_92_92,92,0.7,0.4,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-199.25,-134.0,2.8766876490041615,,0.19423084795475007,0.19423084795475007,0.001587596647441387
94,mountain_car_94_94,94,0.8,0.4,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-198.5,-139.0,2.677036037556827,,0.15495737835764886,0.15495737835764886,0.00016411484219133854
93,mountain_car_93_93,93,0.8,0.4,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-199.91,-182.0,3.321044187396765,,0.167216882891953,0.167216882891953,0.0003692357428371906
95,mountain_car_95_95,95,1.0,0.4,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-200.0,-200.0,2.738171469755471,,0.06797965144738555,0.06797965144738555,0.0005397139303386212
97,mountain_car_97_97,97,0.2,0.5,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-198.665,-123.0,3.060742587484419,,0.12376860227435828,0.12376860227435828,0.0017399969417601824
96,mountain_car_96_96,96,0.1,0.5,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-186.54,-88.0,1.7022958129271866,,0.10843088587746025,0.10843088587746025,0.001597182061523199
99,mountain_car_99_99,99,0.4,0.5,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-196.36,-112.0,2.4577645836770534,,0.08696664506569504,0.08696664506569504,0.002103464026004076
100,mountain_car_100_100,100,0.5,0.5,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-194.47,-110.0,2.388559867367148,,0.05695337201468646,0.05695337201468646,0.0008700861502438784
98,mountain_car_98_98,98,0.3,0.5,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-200.0,-200.0,3.2454069775529204,,0.17075178407132627,0.17075178407132627,7.018540054559708e-06
101,mountain_car_101_101,101,0.6,0.5,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-200.0,-200.0,3.388415925614536,,0.08144163419492542,0.08144163419492542,6.335508078336716e-07
102,mountain_car_102_102,102,0.7,0.5,0.001,MountainCar-v0,0.0001,True,True,200,200,,-171.0,-1.0,-1.0,-177.575,-86.0,2.1048787017489037,,0.0651256760898215,0.0651256760898215,0.0013482298985210775
103,mountain_car_103_103,103,0.8,0.5,0.001,MountainCar-v0,0.0001,True,True,200,200,,-200.0,-1.0,-1.0,-200.0,-200.0,3.1241632042080165,,0.1537693179398775,0.1537693179398775,1.0936865583062173e-05